Number,Composer/Arranger,Title,Full or String,UIL Rating,Notes,Scanned?,Issues?
114,Handel,Converto Grosso op 6 n.1,,N,,,
115,Handel/Fishburn,"Concerto #24, 2 violins and strings",string,N,,,
116,Handel/Douglas,Finale from the water Music,winds,N,,,
117,Handel,water music suite,,2 or 3,,,
118,Handel,2 minuets from royal fireworks,strings,N,,,
119,Hanson,Rythmic variations on two ancient hymns,string,5,,,
120,Hare,three tunes from shakespeare's England,string,N,,,
121,Hart,Masters in this hall - carol,string,N,,,
122,Haydn/Dackow,Syphony #38 in C,string,N,,,
123,Haydn,minuet,string,2 or 3,depends on arrangement,,
124,Heinechen,Sinfonia in D,string,3,,,
125,Hellem,Three spanish xmas carols,,N,,,
126,Hindemith,Five pieces for string orch,string,N,,,
127,Hofeldt,Sunward Overture,string,3,,,
128,Holst,Brook green suite,,4,play mvts 1 & 2 or mvt 3,,
129,Holst,A moorside suite,string,4 or 5,,,
130,Holst,St. Paul's suite,string,5,Performed UIL 2011 & 2015,,
131,Holst,St. Paul's suite,,5,,,
132,"Hovhaness, A",Alleluia and Fugue,string,5,play all,,
133,"Hovhaness, A",Psalm and fugue op 40a,string,5,,,
134,"Ireland, John",A downland suite,string,5,,,
135,"Huws-Jones, E",Battles and Brawls,string and percussion,N,,,
136,"isaac, M.",early american suite,string,N,,,
137,Israel,dorian variations,string,2,,,
138,"Jacob, Gorden",overture for strings,string,1 or 5,"1 for quintet, 5 for orchestra",,
139,"John, Elton/Custer",The Lion King,string,nonUIL,,,
140,"Jirovec, V","Symphony No.12, 1st Movement",string orchestra,N,,,
141,"Kerr, Robert",Irish Aire and Jig,string orchestra,N,,,
142,"Kirk, Theron",Hemis Dance,string orchestra percussion,N,,,
143,"Kreisler, Fritz",f,"solo violin, string orchestra",1,,,
144,"Kreisler von, Alexander",Intermezzo/L'Arlesienne,string orchestra,N,,,
145,"Kreisler von, Alexander",Ballade,string orchestra,N,,,
146,"Kerr, Robert",Fantasy on Amazing Grace,string orchestra,4,,,
147,"Kirk, Theron",Latham Suite,string orchestra,4,play finale,,
148,"England, Rick",Variations on an Eng. Pastoral  Theme,string orchestra,N,,,
149,Corelli,"Concerto Grosso Op. 6 No. 8 ""Christmas Concerto""",S,N,,,
150,"Lehmeier, J.F.",Spanish Dance,string orchestra,N,,,
151,Leyden,Serenade for String Orchestra,S,3,Performed UIL 2011,N,No score
152,Marsh,A Modal Festival,S/Piano/Perc,N,,Y,
153,McLeod,Galop,S/Piano,N,,Y,
154,Rusticana,Mascagni Intermezzo,S or F,N,,Y,
155,McLeod,Fiddle Fiddle Fiddle,String Orchestra,N,,Y,
156,MacDermot,String Jig,string orchestra,N,,Y,
157,McQuilkin,An English Folksong,string,2,,Y,
158,Mendelssohn,Praeludium,string orchestra,N,,Y,
159,Mendelssohn,Canzonetta,string orchestra,N,,Y,
160,Mendelssohn,An Italian Elegy,string orchestra,N,,Y,
161,Mozart,Divertimento in C Major,string orchestra,5,mvts 1 or mvts 2& 3,,
162,Mozart,"BalletMusic to ""Les Petits Riens""",string orchestra,3,,Y,
163,Mozart,Sinfonietta in D Major,string,4,Boing,Y,
164,Mozart/Dackow,Symphony No.10 in G Major,strings,N,,Y,
165,Mozart/Dackow,Symphony No. 39/Menuetto,string orchestra,N,,Y,
166,Mozart,"Symphony No. 16 in C Major, K.128",string,N,,Y,
