53,Brown,,Christmas Fugue (we wish you a merry christmas),N/A,N,N/A,N/A,,Notes: Holiday Scanned:  Issues: 
54,Burswald,,Dance,String,N,N/A,N/A,,Notes: Solo Vln & String Scanned:  Issues: 
55,Byrd,,thee leavees be greene,Other,,N/A,N/A,,Notes:  Scanned:  Issues: 
56,Casals,,Song of the Birds,Other,N,N/A,N/A,,Notes:  Scanned:  Issues: 
57,Corelli,,Concerto Grosso op. 6 no. 1,N/A,N,N/A,N/A,,Notes:  Scanned:  Issues: 
58,Corelli,Sopkin,La Folia,Both,,N/A,N/A,,Notes:  Scanned:  Issues: 
59,Corelli,Zimmerman,Suite in F,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
60,Corelli,,Concerto Grosso op. 6 no. 4,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
61,Copland,,Hoedown from Rodeo,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
62,Copland,Moss,Old American Folk Songs,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
63,Corigliano,,Voyage,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
64,Daniels,,Prelude and dance,String,1,N/A,N/A,,Notes:  Scanned:  Issues: 
65,Creston,,Gregorian Chant,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
66,Debussy,,Andantino from String Quartet,String,N,N/A,N/A,,Notes: Hard Keys Scanned:  Issues: 
67,Del Borgo,,Dance Scenario,String,2,N/A,N/A,,Notes:  Scanned:  Issues: 
68,Cacauas,,Montage for Strings,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
69,Del Borgo,,Clog Dance,String,1,N/A,N/A,,Notes:  Scanned:  Issues: 
70,Del Borgo,,Dance Scenario,String,2,N/A,N/A,,Notes:  Scanned:  Issues: 
71,Del Borgo,,Greensleeves Variant,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
72,Del Borgo,,Petite Overture,String,2,N/A,N/A,,Notes:  Scanned:  Issues: 
73,Del Borgo,,Sonatine,String,1,N/A,N/A,,Notes:  Scanned:  Issues: 
74,Del Borgo,,Korean Folk Song Variants,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
75,Dello Joio,,Air for strings,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
76,Dello Joio,,Choreography ,String,5,N/A,N/A,,Notes:  Scanned:  Issues: 
77,Dvorak,,Serenade for strings,String,5,N/A,N/A,,Notes: Performed UIL 2011 Scanned:  Issues: 
78,Dvorak,,Notturano,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
79,Dvorak,,Two Waltzes ,String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
80,Elfmar,,Selections from Corpse Bride,Both,N,N/A,N/A,,Notes:  Scanned:  Issues: 
81,Elgar,,"Elegy, op. 58",String,N,N/A,N/A,,Notes:  Scanned:  Issues: 
82,Elgar,Bender,Nimrod,String,4,N/A,N/A,,Notes:  Scanned:  Issues: 
83,Elgar,,Pomp and Circumstance,Full,2,N/A,N/A,,Notes:  Scanned:  Issues: 
